373,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay
374,Swimming,Swimming Men's Plunge For Distance
375,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres"
376,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres"
377,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres"
378,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
379,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres"
380,Judo,Judo Men's Half-Heavyweight
381,Archery,Archery Women's Team
382,Athletics,Athletics Men's 50 kilometres Walk
383,Rowing,Rowing Women's Double Sculls
384,Sailing,Sailing Mixed 6 metres
385,Boxing,Boxing Men's Light-Heavyweight
386,Boxing,Boxing Women's Flyweight
387,Athletics,Athletics Women's 100 metres Hurdles
388,Athletics,"Athletics Men's Discus Throw, Greek Style"
389,Curling,Curling Women's Curling
390,Sailing,Sailing Mixed One Person Dinghy
391,Wrestling,"Wrestling Women's Heavyweight, Freestyle"
392,Badminton,Badminton Mixed Doubles
393,Fencing,"Fencing Women's Foil, Individual"
394,Sailing,Sailing Mixed Two Person Keelboat
395,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
396,Table Tennis,Table Tennis Men's Doubles
397,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle"
398,Wrestling,"Wrestling Women's Featherweight, Freestyle"
399,Swimming,Swimming Women's 200 metres Freestyle
400,Swimming,Swimming Women's 400 metres Freestyle
401,Swimming,Swimming Women's 200 metres Individual Medley
402,Sailing,Sailing Men's Windsurfer
403,Freestyle Skiing,Freestyle Skiing Men's Slopestyle
404,Shooting,"Shooting Men's Running Target, Single Shot"
405,Shooting,"Shooting Men's Running Target, Double Shot"
406,Rugby Sevens,Rugby Sevens Men's Rugby Sevens
407,Wrestling,"Wrestling Women's Lightweight, Freestyle"
408,Modern Pentathlon,Modern Pentathlon Women's Individual
409,Canoeing,"Canoeing Men's Canadian Doubles, Slalom"
410,Judo,Judo Women's Half-Lightweight
411,Diving,Diving Women's Plain High
412,Equestrianism,"Equestrianism Men's Dressage, Individual"
413,Equestrianism,"Equestrianism Men's Dressage, Team"
414,Tennis,"Tennis Women's Singles, Covered Courts"
415,Diving,Diving Men's Plain High
416,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
417,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
418,Swimming,Swimming Women's 800 metres Freestyle
419,Sailing,Sailing Women's Two Person Dinghy
420,Alpine Skiing,Alpine Skiing Women's Downhill
421,Shooting,"Shooting Men's Free Pistol, 50 metres, Team"
422,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
423,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team"
424,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team"
425,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team"
426,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres"
427,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
428,Rowing,Rowing Men's Single Sculls
429,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres"
430,Freestyle Skiing,Freestyle Skiing Women's Halfpipe
431,Athletics,Athletics Women's Heptathlon
432,Cycling,Cycling Men's Points Race
433,Synchronized Swimming,Synchronized Swimming Women's Solo
434,Equestrianism,"Equestrianism Mixed Dressage, Individual"
435,Equestrianism,"Equestrianism Mixed Dressage, Team"
436,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres
437,Swimming,Swimming Men's 100 metres Breaststroke
